size	128
T	2.5
J	1
H	0
x	y
0 47	0 48
0 47	1 47
0 54	0 55
0 54	1 54
0 55	1 55
0 56	0 57
0 56	1 56
0 58	0 59
0 58	1 58
0 59	0 60
0 60	1 60
1 15	1 16
1 15	2 15
1 16	2 16
1 46	1 47
1 46	2 46
1 53	1 54
1 53	2 53
1 55	1 56
1 58	2 58
1 60	2 60
1 64	1 65
1 64	2 64
1 65	2 65
2 14	2 15
2 14	3 14
2 16	3 16
2 46	3 46
2 53	3 53
2 58	2 59
2 59	2 60
2 61	2 62
2 61	3 61
2 62	3 62
2 63	2 64
2 63	3 63
2 64	2 65
2 64	3 64
2 121	2 122
2 121	3 121
2 122	3 122
3 14	3 15
3 15	3 16
3 46	3 47
3 47	3 48
3 48	3 49
3 49	4 49
3 53	4 53
3 55	3 56
3 55	4 55
3 56	4 56
3 61	3 62
3 63	3 64
3 89	3 90
3 89	4 89
3 90	4 90
3 121	3 122
4 12	4 13
4 12	5 12
4 13	4 14
4 14	5 14
4 20	4 21
4 20	5 20
4 21	5 21
4 49	5 49
4 50	4 51
4 50	5 50
4 51	4 52
4 52	4 53
4 55	4 56
4 89	4 90
5 12	5 13
5 13	6 13
5 14	6 14
5 18	5 19
5 18	6 18
5 19	5 20
5 21	6 21
5 49	6 49
5 50	6 50
6 11	6 12
6 11	7 11
6 12	7 12
6 13	6 14
6 18	7 18
6 19	6 20
6 19	7 19
6 20	6 21
6 49	6 50
6 57	6 58
6 57	7 57
6 58	6 59
6 59	7 59
6 117	6 118
6 117	7 117
6 118	6 119
6 119	7 119
7 11	8 11
7 12	7 13
7 13	8 13
7 15	7 16
7 15	8 15
7 16	8 16
7 18	7 19
7 52	7 53
7 52	8 52
7 53	8 53
7 57	8 57
7 58	7 59
7 58	8 58
7 115	7 116
7 115	8 115
7 116	7 117
7 117	7 118
7 117	8 117
7 118	7 119
7 119	7 120
7 119	8 119
7 120	8 120
8 11	8 12
8 12	8 13
8 15	8 16
8 52	9 52
8 53	8 54
8 54	9 54
8 57	8 58
8 115	9 115
8 117	9 117
8 119	8 120
9 13	9 14
9 13	10 13
9 14	9 15
9 15	10 15
9 52	9 53
9 53	9 54
9 115	9 116
9 116	9 117
10 13	11 13
10 14	10 15
10 14	11 14
10 44	10 45
10 44	11 44
10 45	11 45
11 13	11 14
11 35	11 36
11 35	12 35
11 36	12 36
11 44	11 45
12 35	12 36
15 110	15 111
15 110	16 110
15 111	15 112
15 112	16 112
16 110	16 111
16 111	17 111
16 112	17 112
17 111	17 112
19 124	19 125
19 124	20 124
19 125	20 125
20 124	20 125
24 64	24 65
24 64	25 64
24 65	25 65
25 64	25 65
26 104	26 105
26 104	27 104
26 105	27 105
27 30	27 31
27 30	28 30
27 31	28 31
27 43	27 44
27 43	28 43
27 44	27 45
27 45	28 45
27 63	27 64
27 63	28 63
27 64	27 65
27 65	28 65
27 104	27 105
28 30	28 31
28 43	28 44
28 44	28 45
28 63	28 64
28 64	28 65
28 112	28 113
28 112	29 112
28 113	28 114
28 114	29 114
29 30	29 31
29 30	30 30
29 31	30 31
29 70	29 71
29 70	30 70
29 71	30 71
29 112	29 113
29 113	29 114
30 30	30 31
30 70	31 70
30 71	31 71
30 115	30 116
30 115	31 115
30 116	31 116
31 70	31 71
31 115	32 115
31 116	32 116
32 115	32 116
35 28	35 29
35 28	36 28
35 29	36 29
36 28	36 29
37 88	37 89
37 88	38 88
37 89	38 89
37 96	37 97
37 96	38 96
37 97	38 97
38 88	39 88
38 89	39 89
38 96	38 97
39 88	39 89
43 89	43 90
43 89	44 89
43 90	44 90
44 89	45 89
44 90	45 90
45 62	45 63
45 62	46 62
45 63	46 63
45 88	45 89
45 88	46 88
45 90	45 91
45 91	46 91
46 62	46 63
46 88	47 88
46 91	47 91
46 99	46 100
46 99	47 99
46 100	47 100
47 88	47 89
47 89	47 90
47 90	47 91
47 99	47 100
51 89	51 90
51 89	52 89
51 90	52 90
51 100	51 101
51 100	52 100
51 101	52 101
52 89	52 90
52 94	52 95
52 94	53 94
52 95	53 95
52 100	52 101
52 101	52 102
52 101	53 101
52 102	53 102
53 94	54 94
53 95	53 96
53 96	54 96
53 101	53 102
54 94	54 95
54 95	54 96
54 101	54 102
54 101	55 101
54 102	55 102
55 6	55 7
55 6	56 6
55 7	56 7
55 94	55 95
55 94	56 94
55 95	56 95
55 98	55 99
55 98	56 98
55 99	56 99
55 101	55 102
56 6	56 7
56 93	56 94
56 93	57 93
56 95	57 95
56 98	56 99
57 93	58 93
57 95	57 96
57 96	58 96
58 6	58 7
58 6	59 6
58 7	59 7
58 28	58 29
58 28	59 28
58 29	59 29
58 93	58 94
58 94	58 95
58 95	58 96
59 6	59 7
59 28	59 29
60 29	60 30
60 29	61 29
60 30	61 30
61 29	62 29
61 30	62 30
62 29	62 30
64 83	64 84
64 83	65 83
64 84	65 84
65 47	65 48
65 47	66 47
65 48	66 48
65 83	65 84
66 47	66 48
68 115	68 116
68 115	69 115
68 116	69 116
69 115	70 115
69 116	70 116
70 115	70 116
72 4	72 5
72 4	73 4
72 5	73 5
72 75	72 76
72 75	73 75
72 76	73 76
73 4	74 4
73 5	74 5
73 75	73 76
74 4	74 5
81 124	81 125
81 124	82 124
81 125	82 125
82 123	82 124
82 123	83 123
82 125	83 125
83 123	84 123
83 125	83 126
83 126	84 126
84 123	84 124
84 124	85 124
84 126	85 126
85 124	85 125
85 125	85 126
88 43	88 44
88 43	89 43
88 44	89 44
89 43	90 43
89 44	90 44
89 88	89 89
89 88	90 88
89 89	90 89
90 43	90 44
90 88	90 89
92 89	92 90
92 89	93 89
92 90	93 90
93 44	93 45
93 44	94 44
93 45	94 45
93 89	94 89
93 90	93 91
93 91	93 92
93 92	94 92
94 41	94 42
94 41	95 41
94 42	95 42
94 44	94 45
94 87	94 88
94 87	95 87
94 88	94 89
94 91	94 92
94 91	95 91
95 41	95 42
95 82	95 83
95 82	96 82
95 83	96 83
95 87	96 87
95 89	95 90
95 89	96 89
95 90	95 91
95 91	95 92
95 91	96 91
95 92	96 92
96 82	96 83
96 84	96 85
96 84	97 84
96 85	97 85
96 87	96 88
96 88	96 89
96 91	96 92
97 84	97 85
98 42	98 43
98 42	99 42
98 43	99 43
98 82	98 83
98 82	99 82
98 83	99 83
98 87	98 88
98 87	99 87
98 88	99 88
99 42	99 43
99 82	99 83
99 87	99 88
99 93	99 94
99 93	100 93
99 94	100 94
100 43	100 44
100 43	101 43
100 44	100 45
100 45	101 45
100 66	100 67
100 66	101 66
100 67	101 67
100 93	100 94
101 43	101 44
101 44	101 45
101 66	102 66
101 67	102 67
102 66	103 66
102 67	103 67
103 66	103 67
108 86	108 87
108 86	109 86
108 87	109 87
109 86	109 87
111 108	111 109
111 108	112 108
111 109	112 109
112 108	112 109
117 15	117 16
117 15	118 15
117 16	117 17
117 17	117 18
117 18	118 18
118 15	119 15
118 17	118 18
118 17	119 17
119 15	119 16
119 16	120 16
119 17	120 17
120 16	120 17
120 91	120 92
120 91	121 91
120 92	121 92
121 57	121 58
121 57	122 57
121 58	122 58
121 91	121 92
122 49	122 50
122 49	123 49
122 50	123 50
122 57	122 58
123 15	123 16
123 15	124 15
123 16	124 16
123 48	123 49
123 48	124 48
123 50	124 50
123 81	123 82
123 81	124 81
123 82	124 82
124 11	124 12
124 11	125 11
124 12	125 12
124 13	124 14
124 13	125 13
124 14	125 14
124 15	124 16
124 48	124 49
124 49	124 50
124 51	124 52
124 51	125 51
124 52	125 52
124 81	124 82
124 82	124 83
124 82	125 82
124 83	125 83
125 11	125 12
125 13	125 14
125 48	125 49
125 48	126 48
125 49	125 50
125 50	125 51
125 52	126 52
125 82	125 83
126 19	126 20
126 19	127 19
126 20	127 20
126 22	126 23
126 22	127 22
126 23	127 23
126 48	127 48
126 52	126 53
126 53	126 54
126 54	126 55
126 55	127 55
127 19	127 20
127 22	127 23
127 48	128 48
127 55	127 56
127 56	127 57
127 57	128 57
